field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
egd_mhterm,fibrosis_staging,,descriptive,Esophagogastroduodenoscopy,,,,,,,"0 = 1",,,,,,
egd_mhoccur,fibrosis_staging,,radio,"EGD recorded for this subject?","N, NO|Y, YES",,,,,,,y,,,,,
egd_faobj,fibrosis_staging,,descriptive,Esophagogastroduodenoscopy,,,,,,,"0 = 1",,,,,,
egd_fatestcd,fibrosis_staging,,descriptive,VARICES,,,,,,,"0 = 1",,,,,,
egd_fatest,fibrosis_staging,,descriptive,"Esophageal/Gastric Varices or portal gastropathy present?",,,,,,,"0 = 1",,,,,,
egd_faorres,fibrosis_staging,,radio,"Esophageal/Gastric Varices or portal gastropathy present on EGD?","N, NO|Y, YES",,,,,,"[egd_mhoccur] = 'Y'",y,,,,,
pht_mhterm,fibrosis_staging,,descriptive,"Ultrasound liver",,,,,,,"0 = 1",,,,,,
pht_mhoccur,fibrosis_staging,,radio,"Liver imaging recorded for this subject?","N, NO|Y, YES",,,,,,,y,,,,,
pht_faobj,fibrosis_staging,,descriptive,"Ultrasound liver",,,,,,,"0 = 1",,,,,,
pht_fatestcd,fibrosis_staging,,descriptive,CIRRPHT,,,,,,,"0 = 1",,,,,,
pht_fatest,fibrosis_staging,,descriptive,"Evidence of cirrhosis and/or portal hypertension present?",,,,,,,"0 = 1",,,,,,
pht_faorres,fibrosis_staging,,radio,"Evidence of cirrhosis and/or portal hypertension present?","N, NO|Y, YES",,,,,,"[pht_mhoccur] = 'Y'",y,,,,,
asc_mhterm,fibrosis_staging,,descriptive,Ascites,,,,,,,"0 = 1",,,,,,
asc_mhoccur,fibrosis_staging,,radio,"Ascites current or historical (imaging or clinical)?","N, NO|Y, YES",,,,,,,y,,,,,
fib_lbstat,fibrosis_staging,,radio,"Serum Fibrosis available for this subject?","NOT_DONE, NO|null, YES",,,,,,,y,,,,,
fib_lbdtc,fibrosis_staging,,text,"Serum Fibrosis date",,,date_ymd,,,,"[fib_lbstat] = 'null' AND [fib_supplb_nolbdtc] != 'Y'",y,,,,,
fib_supplb_nolbdtc,fibrosis_staging,,radio,"Is Serum Fibrosis date unknown?","N, NO|Y, YES",,,,,,"[fib_lbstat] = 'null' AND [fib_lbdtc] = ''",y,,,,,
fib_lbtest,fibrosis_staging,,radio,"Serum Fibrosis Test","FBRTST, FibroSure/FibroTest|FBRSPCT, Fibrospect|ELFG, ELFG|HEPASCR, Hepascore|FBRMTR, Fibrometer|OTHER, Other",,,,,,"[fib_lbstat] = 'null'",,,,,,
fib_oth_lbtest,fibrosis_staging,,text,"Serum Fibrosis Test Other",,,,,,,"[fib_lbtest] = 'OTHER'",,,,,,
fib_lborres,fibrosis_staging,,text,"Serum Fibrosis Score",,,number,,,,"[fib_lbstat] = 'null'",y,,,,,
fibscn_lbtestcd,fibrosis_staging,,descriptive,FBSTST,,,,,,,"0 = 1",,,,,,
fibscn_lbtest,fibrosis_staging,,descriptive,FibroSCAN,,,,,,,"0 = 1",,,,,,
fibscn_lbstat,fibrosis_staging,,radio,"FibroSCAN available for this subject?","NOT_DONE, NO|null, YES",,,,,,,y,,,,,
fibscn_lbdtc,fibrosis_staging,,text,"FibroSCAN date",,,date_ymd,,,,"[fibscn_lbstat] = 'null' AND [fibscn_supplb_nolbdtc] != 'Y'",y,,,,,
fibscn_supplb_nolbdtc,fibrosis_staging,,radio,"Is FibroSCAN date unknown?","N, NO|Y, YES",,,,,,"[fibscn_lbstat] = 'null' AND [fibscn_lbdtc] = ''",y,,,,,
fibscn_lborres,fibrosis_staging,,text,"FibroSCAN results",,(kPa),number,,,,"[fibscn_lbstat] = 'null'",y,,,,,
fibscn_lborresu,fibrosis_staging,,descriptive,kPa,,,,,,,"0 = 1",,,,,,
cap_lbtestcd,fibrosis_staging,,descriptive,CAP,,,,,,,"0 = 1",,,,,,
cap_lbtest,fibrosis_staging,,descriptive,"Controlled Attenuation Parameter",,,,,,,"0 = 1",,,,,,
cap_lbstat,fibrosis_staging,,radio,"CAP available for this subject?","NOT_DONE, NO|null, YES",,,,,,"[fibscn_lbstat] = 'null'",y,,,,,
cap_lbdtc,fibrosis_staging,,text,"CAP date",,,date_ymd,,,,"[cap_lbstat] = 'null' AND [cap_supplb_nolbdtc] != 'Y'",y,,,,,
cap_supplb_nolbdtc,fibrosis_staging,,radio,"Is CAP date unknown?","N, NO|Y, YES",,,,,,"[cap_lbstat] = 'null' AND [cap_lbdtc] = ''",y,,,,,
cap_lborres,fibrosis_staging,,text,"CAP results",,(dB/M),number,,,,"[cap_lbstat] = 'null'",y,,,,,
cap_lborresu,fibrosis_staging,,descriptive,dB/M,,,,,,,"0 = 1",,,,,,
cbc_nximport,cbc,,radio,"Data imported?","N, NO|Y, YES",,,,,,,y,,,,,
cbc_lbdtc,cbc,,text,"Date of test",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
wbc_lbtest,cbc,,descriptive,Leukocytes,,,,,,,"0 = 1",,,,,,
wbc_lbtestcd,cbc,,descriptive,WBC,,,,,,,"0 = 1",,,,,,
wbc_lborres,cbc,,text,WBC,,,number,,,,"[wbc_lbstat] != 'NOT_DONE'",y,,,,,
wbc_lborresu,cbc,,text,"WBC units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[wbc_lbstat] != 'NOT_DONE'",y,,,,,
wbc_lbstat,cbc,,radio,"WBC done?","NOT_DONE, NO|null, YES",,,,,,"[wbc_lborres] = ''",y,,,,,
neut_lbtest,cbc,,descriptive,Neutrophils/Leukocytes,,,,,,,"0 = 1",,,,,,
neut_lbtestcd,cbc,,descriptive,NEUTLE,,,,,,,"0 = 1",,,,,,
neut_lborres,cbc,,text,"Neutrophils (%)",,,number,,,,"[neut_lbstat] != 'NOT_DONE'",y,,,,,
neut_lborresu,cbc,,text,"Neutrophils (%) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[neut_lbstat] != 'NOT_DONE'",y,,,,,
neut_lbstat,cbc,,radio,"Neutrophils (%) done?","NOT_DONE, NO|null, YES",,,,,,"[neut_lborres] = ''",y,,,,,
anc_lbtest,cbc,,descriptive,"Absolute Neutrophil Count",,,,,,,"0 = 1",,,,,,
anc_lbtestcd,cbc,,descriptive,NEUT,,,,,,,"0 = 1",,,,,,
anc_lborres,cbc,,text,"Neutrophils (absolute)",,,number,,,,"[anc_lbstat] != 'NOT_DONE'",y,,,,,
anc_lborresu,cbc,,text,"Neutrophils (absolute) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[anc_lbstat] != 'NOT_DONE'",y,,,,,
anc_lbstat,cbc,,radio,"Neutrophils (absolute) done?","NOT_DONE, NO|null, YES",,,,,,"[anc_lborres] = ''",y,,,,,
lymce_lbtest,cbc,,descriptive,"Lymphocytes/Total Cells",,,,,,,"0 = 1",,,,,,
lymce_lbtestcd,cbc,,descriptive,LYMCE,,,,,,,"0 = 1",,,,,,
lymce_lborres,cbc,,text,"Lymphocytes (%)",,,number,,,,"[lymce_lbstat] != 'NOT_DONE'",y,,,,,
lymce_lborresu,cbc,,text,"Lymphocytes (%) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[lymce_lbstat] != 'NOT_DONE'",y,,,,,
lymce_lbstat,cbc,,radio,"Lymphocytes (%) done?","NOT_DONE, NO|null, YES",,,,,,"[lymce_lborres] = ''",y,,,,,
lym_lbtest,cbc,,descriptive,Lymphocytes,,,,,,,"0 = 1",,,,,,
lym_lbtestcd,cbc,,descriptive,LYM,,,,,,,"0 = 1",,,,,,
lym_lborres,cbc,,text,"Lymphocytes (absolute)",,,number,,,,"[lym_lbstat] != 'NOT_DONE'",y,,,,,
lym_lborresu,cbc,,text,"Lymphocytes units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[lym_lbstat] != 'NOT_DONE'",y,,,,,
lym_lbstat,cbc,,radio,"Lymphocytes done?","NOT_DONE, NO|null, YES",,,,,,"[lym_lborres] = ''",y,,,,,
plat_lbtest,cbc,,descriptive,Platelets,,,,,,,"0 = 1",,,,,,
plat_lbtestcd,cbc,,descriptive,PLAT,,,,,,,"0 = 1",,,,,,
plat_lborres,cbc,,text,"Platelet count",,,number,,,,"[plat_lbstat] != 'NOT_DONE'",y,,,,,
plat_lborresu,cbc,,text,"Platelet units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[plat_lbstat] != 'NOT_DONE'",y,,,,,
plat_lbstat,cbc,,radio,"Platelet count done?","NOT_DONE, NO|null, YES",,,,,,"[plat_lborres] = ''",y,,,,,
hemo_lbtest,cbc,,descriptive,Hemoglobin,,,,,,,"0 = 1",,,,,,
hemo_lbtestcd,cbc,,descriptive,HGB,,,,,,,"0 = 1",,,,,,
hemo_lborres,cbc,,text,"Hemoglobin ",,,number,,,,"[hemo_lbstat] != 'NOT_DONE'",y,,,,,
hemo_lborresu,cbc,,text,"Hemoglobin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[hemo_lbstat] != 'NOT_DONE'",y,,,,,
hemo_lbstat,cbc,,radio,"Hemoglobin done?","NOT_DONE, NO|null, YES",,,,,,"[hemo_lborres] = ''",y,,,,,
wbc_lbstresn,cbc_standard,,text,WBC,,,,,,,"[wbc_lbstat] != 'NOT_DONE'",y,,,,,
wbc_lbstresu,cbc_standard,,text,"WBC units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[wbc_lbstat] != 'NOT_DONE'",y,,,,,
neut_lbstresn,cbc_standard,,text,"Neutrophils (%)",,,,,,,"[neut_lbstat] != 'NOT_DONE'",y,,,,,
neut_lbstresu,cbc_standard,,text,"Neutrophils (%) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[neut_lbstat] != 'NOT_DONE'",y,,,,,
anc_lbstresn,cbc_standard,,text,"Neutrophils (absolute)",,,,,,,"[anc_lbstat] != 'NOT_DONE'",y,,,,,
anc_lbstresu,cbc_standard,,text,"Neutrophils (absolute) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[anc_lbstat] != 'NOT_DONE'",y,,,,,
lymce_lbstresn,cbc_standard,,text,"Lymphocytes (%)",,,,,,,"[lymce_lbstat] != 'NOT_DONE'",y,,,,,
lymce_lbstresu,cbc_standard,,text,"Lymphocytes (%) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[lymce_lbstat] != 'NOT_DONE'",y,,,,,
lym_lbstresn,cbc_standard,,text,"Lymphocytes (absolute)",,,,,,,"[lym_lbstat] != 'NOT_DONE'",y,,,,,
lym_lbstresu,cbc_standard,,text,"Lymphocytes units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[lym_lbstat] != 'NOT_DONE'",y,,,,,
plat_lbstresn,cbc_standard,,text,"Platelet count",,,,,,,"[plat_lbstat] != 'NOT_DONE'",y,,,,,
plat_lbstresu,cbc_standard,,text,"Platelet units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[plat_lbstat] != 'NOT_DONE'",y,,,,,
hemo_lbstresn,cbc_standard,,text,"Hemoglobin ",,,,,,,"[hemo_lbstat] != 'NOT_DONE'",y,,,,,
hemo_lbstresu,cbc_standard,,text,"Hemoglobin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[hemo_lbstat] != 'NOT_DONE'",y,,,,,
chem_nximport,chemistry,,radio,"Data imported?","N, NO|Y, YES",,,,,,,y,,,,,
chem_lbdtc,chemistry,,text,"Date of test",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
alt_lbtest,chemistry,,descriptive,"Alanine Aminotransferase",,,,,,,"0 = 1",,,,,,
alt_lbtestcd,chemistry,,descriptive,ALT,,,,,,,"0 = 1",,,,,,
alt_lborres,chemistry,,text,"Serum ALT ",,,number,,,,"[alt_lbstat] != 'NOT_DONE'",y,,,,,
alt_lborresu,chemistry,,text,"Serum ALT units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alt_lbstat] != 'NOT_DONE'",y,,,,,
alt_lbstat,chemistry,,radio,"Serum ALT done?","NOT_DONE, NO|null, YES",,,,,,"[alt_lborres] = ''",y,,,,,
ast_lbtest,chemistry,,descriptive,"Aspartate Aminotransferase",,,,,,,"0 = 1",,,,,,
ast_lbtestcd,chemistry,,descriptive,AST,,,,,,,"0 = 1",,,,,,
ast_lborres,chemistry,,text,"Serum AST ",,,number,,,,"[ast_lbstat] != 'NOT_DONE'",y,,,,,
ast_lborresu,chemistry,,text,"Serum AST units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[ast_lbstat] != 'NOT_DONE'",y,,,,,
ast_lbstat,chemistry,,radio,"Serum AST done?","NOT_DONE, NO|null, YES",,,,,,"[ast_lborres] = ''",y,,,,,
alp_lbtest,chemistry,,descriptive,"Alkaline Phosphatase",,,,,,,"0 = 1",,,,,,
alp_lbtestcd,chemistry,,descriptive,ALP,,,,,,,"0 = 1",,,,,,
alp_lborres,chemistry,,text,"Serum ALP ",,,number,,,,"[alp_lbstat] != 'NOT_DONE'",y,,,,,
alp_lborresu,chemistry,,text,"Serum ALP units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alp_lbstat] != 'NOT_DONE'",y,,,,,
alp_lbstat,chemistry,,radio,"Serum ALP done?","NOT_DONE, NO|null, YES",,,,,,"[alp_lborres] = ''",y,,,,,
tbil_lbtest,chemistry,,descriptive,"Total Bilirubin",,,,,,,"0 = 1",,,,,,
tbil_lbtestcd,chemistry,,descriptive,BILI,,,,,,,"0 = 1",,,,,,
tbil_lborres,chemistry,,text,"Total Bilirubin",,,number,,,,"[tbil_lbstat] != 'NOT_DONE'",y,,,,,
tbil_lborresu,chemistry,,text,"Total Bilirubin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[tbil_lbstat] != 'NOT_DONE'",y,,,,,
tbil_lbstat,chemistry,,radio,"Total Bilirubin done?","NOT_DONE, NO|null, YES",,,,,,"[tbil_lborres] = ''",y,,,,,
dbil_lbtest,chemistry,,descriptive,"Direct Bilirubin",,,,,,,"0 = 1",,,,,,
dbil_lbtestcd,chemistry,,descriptive,BILDIR,,,,,,,"0 = 1",,,,,,
dbil_lborres,chemistry,,text,"Direct Bilirubin",,,number,,,,"[dbil_lbstat] != 'NOT_DONE'",y,,,,,
dbil_lborresu,chemistry,,text,"Direct Bilirubin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[dbil_lbstat] != 'NOT_DONE'",y,,,,,
dbil_lbstat,chemistry,,radio,"Direct Bilirubin done?","NOT_DONE, NO|null, YES",,,,,,"[dbil_lborres] = ''",y,,,,,
alb_lbtest,chemistry,,descriptive,Albumin,,,,,,,"0 = 1",,,,,,
alb_lbtestcd,chemistry,,descriptive,ALB,,,,,,,"0 = 1",,,,,,
alb_lborres,chemistry,,text,Albumin,,,number,,,,"[alb_lbstat] != 'NOT_DONE'",y,,,,,
alb_lborresu,chemistry,,text,"Albumin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alb_lbstat] != 'NOT_DONE'",y,,,,,
alb_lbstat,chemistry,,radio,"Albumin done?","NOT_DONE, NO|null, YES",,,,,,"[alb_lborres] = ''",y,,,,,
creat_lbtest,chemistry,,descriptive,Creatinine,,,,,,,"0 = 1",,,,,,
creat_lbtestcd,chemistry,,descriptive,CREAT,,,,,,,"0 = 1",,,,,,
creat_lborres,chemistry,,text,Creatinine,,,number,,,,"[creat_lbstat] != 'NOT_DONE'",y,,,,,
creat_lborresu,chemistry,,text,"Creatinine units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[creat_lbstat] != 'NOT_DONE'",y,,,,,
creat_lbstat,chemistry,,radio,"Creatinine done?","NOT_DONE, NO|null, YES",,,,,,"[creat_lborres] = ''",y,,,,,
gluc_lbtestcd,chemistry,,descriptive,GLUC,,,,,,,"0 = 1",,,,,,
gluc_lbtest,chemistry,,descriptive,Glucose,,,,,,,"0 = 1",,,,,,
gluc_lborres,chemistry,,text,Glucose,,,number,,,,"[gluc_lbstat] != 'NOT_DONE'",y,,,,,
gluc_lborresu,chemistry,,text,"Glucose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[gluc_lbstat] != 'NOT_DONE'",y,,,,,
gluc_lbstat,chemistry,,radio,"Glucose done?","NOT_DONE, NO|null, YES",,,,,,"[gluc_lborres] = ''",y,,,,,
k_lbtestcd,chemistry,,descriptive,K,,,,,,,"0 = 1",,,,,,
k_lbtest,chemistry,,descriptive,Potassium,,,,,,,"0 = 1",,,,,,
k_lborres,chemistry,,text,Potassium,,,number,,,,"[k_lbstat] != 'NOT_DONE'",y,,,,,
k_lborresu,chemistry,,text,"Potassium units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[k_lbstat] != 'NOT_DONE'",y,,,,,
k_lbstat,chemistry,,radio,"Potassium done?","NOT_DONE, NO|null, YES",,,,,,"[k_lborres] = ''",y,,,,,
sodium_lbtestcd,chemistry,,descriptive,SODIUM,,,,,,,"0 = 1",,,,,,
sodium_lbtest,chemistry,,descriptive,Sodium,,,,,,,"0 = 1",,,,,,
sodium_lborres,chemistry,,text,Sodium,,,number,,,,"[sodium_lbstat] != 'NOT_DONE'",y,,,,,
sodium_lborresu,chemistry,,text,"Sodium units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[sodium_lbstat] != 'NOT_DONE'",y,,,,,
sodium_lbstat,chemistry,,radio,"Sodium done?","NOT_DONE, NO|null, YES",,,,,,"[sodium_lborres] = ''",y,,,,,
alt_lbstresn,chemistry_standard,,text,"Serum ALT ",,,,,,,"[alt_lbstat] != 'NOT_DONE'",y,,,,,
alt_lbstresu,chemistry_standard,,text,"Serum ALT units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alt_lbstat] != 'NOT_DONE'",y,,,,,
ast_lbstresn,chemistry_standard,,text,"Serum AST ",,,,,,,"[ast_lbstat] != 'NOT_DONE'",y,,,,,
ast_lbstresu,chemistry_standard,,text,"Serum AST units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[ast_lbstat] != 'NOT_DONE'",y,,,,,
alp_lbstresn,chemistry_standard,,text,"Serum ALP ",,,,,,,"[alp_lbstat] != 'NOT_DONE'",y,,,,,
alp_lbstresu,chemistry_standard,,text,"Serum ALP units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alp_lbstat] != 'NOT_DONE'",y,,,,,
tbil_lbstresn,chemistry_standard,,text,"Total Bilirubin",,,,,,,"[tbil_lbstat] != 'NOT_DONE'",y,,,,,
tbil_lbstresu,chemistry_standard,,text,"Total Bilirubin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[tbil_lbstat] != 'NOT_DONE'",y,,,,,
dbil_lbstresn,chemistry_standard,,text,"Direct Bilirubin",,,,,,,"[dbil_lbstat] != 'NOT_DONE'",y,,,,,
dbil_lbstresu,chemistry_standard,,text,"Direct Bilirubin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[dbil_lbstat] != 'NOT_DONE'",y,,,,,
alb_lbstresn,chemistry_standard,,text,Albumin,,,,,,,"[alb_lbstat] != 'NOT_DONE'",y,,,,,
alb_lbstresu,chemistry_standard,,text,"Albumin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alb_lbstat] != 'NOT_DONE'",y,,,,,
creat_lbstresn,chemistry_standard,,text,Creatinine,,,,,,,"[creat_lbstat] != 'NOT_DONE'",y,,,,,
creat_lbstresu,chemistry_standard,,text,"Creatinine units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[creat_lbstat] != 'NOT_DONE'",y,,,,,
gluc_lbstresn,chemistry_standard,,text,Glucose,,,,,,,"[gluc_lbstat] != 'NOT_DONE'",y,,,,,
gluc_lbstresu,chemistry_standard,,text,"Glucose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[gluc_lbstat] != 'NOT_DONE'",y,,,,,
k_lbstresn,chemistry_standard,,text,Potassium,,,,,,,"[k_lbstat] != 'NOT_DONE'",y,,,,,
k_lbstresu,chemistry_standard,,text,"Potassium units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[k_lbstat] != 'NOT_DONE'",y,,,,,
sodium_lbstresn,chemistry_standard,,text,Sodium,,,,,,,"[sodium_lbstat] != 'NOT_DONE'",y,,,,,
sodium_lbstresu,chemistry_standard,,text,"Sodium units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[sodium_lbstat] != 'NOT_DONE'",y,,,,,
inr_nximport,inr,,radio,"Data imported?","N, NO|Y, YES",,,,,,,y,,,,,
inr_lbdtc,inr,,text,"Date of test",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
inr_lbtestcd,inr,,descriptive,INR,,,,,,,"0 = 1",,,,,,
inr_lbtest,inr,,descriptive,"Prothrombin Intl. Normalized Ratio",,,,,,,"0 = 1",,,,,,
inr_lborres,inr,,text,"INR ",,,number,,,,"[inr_lbstat] != 'NOT_DONE'",y,,,,,
inr_lbstat,inr,,radio,"INR done?","NOT_DONE, NO|null, YES",,,,,,"[inr_lborres] = ''",y,,,,,
hcv_nximport,hcv_rna_results,,radio,"Data imported?","N, NO|Y, YES",,,,,,,y,,,,,
hcv_lbtest,hcv_rna_results,,descriptive,"HCV Viral Load",,,,,,,"0 = 1",,,,,,
hcv_lbtestcd,hcv_rna_results,,descriptive,HCVVLD,,,,,,,"0 = 1",,,,,,
hcv_lbdtc,hcv_rna_results,,text,"HCV RNA date",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
hcv_supplb_hcvquant,hcv_rna_results,,radio,"Does the report have a quantified HCV RNA result? <br><b><u>(NOTE: If result is indicated as < the quantitative cutoff, the response should be NO. If a TMA assay or qualitative assay is used, the response should be NO)</b><u>","N, NO|Y, YES",,,,,,,y,,,,,
hcv_lborres,hcv_rna_results,,text,"HCV RNA results",,,number,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
hcv_lborresu,hcv_rna_results,,text,"HCV RNA units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
hcv_supplb_hcvdtct,hcv_rna_results,,radio,"Is HCV RNA DETECTABLE? ","DETECTED, YES; Detected / Positive; HCV RNA is present|BLOQ, NO; Not detected / Negative; HCV RNA is not present|NOT_SPECIFIED, ""Detected"" or ""Not Detected"" is not specified on the report",,,,,,"[hcv_supplb_hcvquant] = 'N'",y,,,,,
hcv_lbstresn,hcv_rna_standard,,text,"HCV RNA results",,,,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
hcv_lbstresu,hcv_rna_standard,,text,"HCV RNA units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
hcv_supplb_blipfl,hcv_rna_standard,,radio,"HCV RNA blip - use for outcome?","N, NO|Y, YES",,,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
reg_suppcm_regdtc,treatment_regimen,,text,"Date intended regimen recorded",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
reg_suppcm_regimen,treatment_regimen,,radio,"Intended treatment regimen","HVN, Harvoni (Sofosbuvir / Ledipasvir)|HVN_RBV, Harvoni / Ribavirin|TCN, Technivie [Viekirax] (Ombitasvir / Paritaprevir / Ritonavir)|TCN_RBV, Technivie [Viekirax] / Ribavirin|VPK, Viekira Pak [Viekirax+Enviera] (Ombitasvir / Paritaprevir / Ritonavir+Dasabuvir)|VPK_RBV, Viekira Pak [Viekirax+Enviera] / Ribavirin|ZEP, Zepatier (Elbasvir and Grazoprevir)|ZEP_RBV, Zepatier / Ribavirin|SMV_SOF, Sofosbuvir / Simeprevir|RBV_SMV_SOF, Sofosbuvir / Simeprevir / Ribavirin|RBV_SOF, Sofosbuvir / Ribavirin|IFN_RBV_SOF, Sofosbuvir / Interferon / Ribavirin|SOF_RBV_DCV, Daclatasvir / Sofosbuvir / Ribavirin|DCV_SOF, Daclatasvir / Sofosbuvir|SIM_PEG_RBV, Simeprevir / Interferon / Ribavirin|IFN_RBV_TPV, Telaprevir / Interferon / Ribavirin|TPV_SOF, Sofosbuvir / Telaprevir|IFN_RBV, Interferon / Ribavirin|UNKNOWN, Unknown|OTHER, Other",,,,,,,y,,,,,
reg_oth_suppcm_regimen,treatment_regimen,,text,"Intended treatment regimen",,,,,,,"[reg_suppcm_regimen] = 'OTHER'",y,,,,,
trt_suppcm_intrtdur,treatment_regimen,,radio,"Intended treatment regimen duration","8, 8 Weeks|12, 12 Weeks|16, 16 Weeks|24, 24 Weeks|48, 48 Weeks|OTHER, Other",,,,,,,y,,,,,
trt_suppcm_oth_intrtdur,treatment_regimen,,text,"Intended treatment regimen duration",,,,,,,"[trt_suppcm_intrtdur] = 'OTHER'",y,,,,,
trt_suppcm_txstat,treatment_regimen,,radio,"Was treatment started?","N, NO|Y, YES",,,,,,,y,,,,,
trt_suppcm_txrsnost,treatment_regimen,,radio,"Reason for not starting HCV regimen","INSURANCE_HOLD, Awaiting Insurance approval|INSURANCE_DENIED, Insurance approval denied|SUBJECT_WITHDRAWAL, Subject changed mind about HCV treatment|SUBJECT_INELIGIBLE, Subject's condition changed making them ineligible for current HCV treatment|OTHER, Other",,,,,,"[trt_suppcm_txstat] = 'N'",y,,,,,
trt_oth_suppcm_txrsnost,treatment_regimen,,text,"Reason for not starting HCV regimen other",,,,,,,"[trt_suppcm_txrsnost] = 'OTHER'",y,,,,,
trt_suppcm_nostdtc,treatment_regimen,,text,"Date of note indicating reason treatment not started",,YYYY-MM-DD,date_ymd,,,,"[trt_suppcm_txrsnost] = 'INSURANCE_HOLD' OR [trt_suppcm_txrsnost] = 'OTHER'",y,,,,,
trt_suppcm_mstones,treatment_regimen,,checkbox,"Milestones received","1, Milestone 1|2, Milestone 2|3, Milestone 3",,,,,,,y,,,,,
ifn_cmtrt,interferon_administration,,descriptive,Interferon,,,,,,,"0 = 1",,,,,,
ifn_cmstdtc,interferon_administration,,text,"Interferon start date",,YYYY-MM-DD,date_ymd,,,,"[ifn_cmoccur] != 'N' ",y,,,,,
ifn_cmdose,interferon_administration,,text,"Interferon initial dose",,"Dose per administration",number,,,,"[ifn_cmoccur] != 'N' ",y,,,,,
ifn_cmdosu,interferon_administration,,text,"Interferon dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[ifn_cmoccur] != 'N' ",y,,,,,
ifn_cmdosfrq,interferon_administration,,radio,"Interferon dose frequency","EVERY_WEEK, Weekly|OTHER, Other","Dosing frequency per Interval",,,,,"[ifn_cmoccur] != 'N' ",y,,,,,
ifn_oth_cmdosfrq,interferon_administration,,text,"Interferon dose frequency other",,,,,,,"[ifn_cmdosfrq] = 'OTHER'",y,,,,,
ifn_suppcm_cmtrtout,interferon_administration,,radio,"Interferon dosing status","ONGOING, Ongoing|COMPLETE, Treatment completed|DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted|PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[ifn_cmoccur] != 'N' ",y,,,,,
